Model,Agent_Type,Accuracy_%,Correct,Total,Avg_Fact_Score,Avg_Quality_Score,Avg_Latency_ms
Llama 3.1 8B,Vanilla ANEETAA,60.0,24,40,6.0,5.0,29073.5
Llama 3.1 8B,DSPy Baseline,75.0,30,40,7.5,4.8,7516.8
Llama 3.1 8B,DSPy Bootstrap,82.5,33,40,8.2,5.0,4402.9
Llama 3.1 8B,DSPy MIPROv2,87.5,35,40,8.8,5.2,5890.9
Gemma2 9B,Vanilla ANEETAA,80.0,32,40,8.0,5.2,6767.1
Gemma2 9B,DSPy Baseline,87.5,35,40,8.8,5.1,7932.3
Gemma2 9B,DSPy Bootstrap,90.0,36,40,9.0,5.4,4869.3
Gemma2 9B,DSPy MIPROv2,82.5,33,40,8.2,4.9,5574.8
Mistral Nemo 12B,Vanilla ANEETAA,70.0,28,40,7.0,5.0,23230.5
Mistral Nemo 12B,DSPy Baseline,65.0,26,40,6.5,5.2,7332.2
Mistral Nemo 12B,DSPy Bootstrap,87.5,35,40,8.8,5.2,4868.0
Mistral Nemo 12B,DSPy MIPROv2,72.5,29,40,7.2,5.0,7378.6
