Model,Agent_Type,Accuracy_%,Correct,Total,Avg_Fact_Score,Avg_Quality_Score,Avg_Latency_ms
Llama 3.1 8B,Vanilla ANEETAA,72.5,29,40,7.2,6.8,6343.2
Llama 3.1 8B,DSPy Baseline,42.5,17,40,4.2,3.8,8309.6
Llama 3.1 8B,DSPy Bootstrap,52.5,21,40,5.2,3.6,5184.3
Llama 3.1 8B,DSPy MIPROv2,67.5,27,40,6.8,4.0,6511.8
Gemma2 9B,Vanilla ANEETAA,62.5,25,40,6.2,7.4,6918.1
Gemma2 9B,DSPy Baseline,55.0,22,40,5.5,4.0,7368.5
Gemma2 9B,DSPy Bootstrap,65.0,26,40,6.5,3.6,4879.1
Gemma2 9B,DSPy MIPROv2,67.5,27,40,6.8,3.6,7407.4
Mistral Nemo 12B,Vanilla ANEETAA,55.0,22,40,5.5,7.0,8743.6
Mistral Nemo 12B,DSPy Baseline,55.0,22,40,5.5,4.3,7242.9
Mistral Nemo 12B,DSPy Bootstrap,47.5,19,40,4.8,3.4,4990.4
Mistral Nemo 12B,DSPy MIPROv2,37.5,15,40,3.8,3.2,8667.6
