agent_name,question_id,subject,predicted_answer,correct_answer,is_correct,fact_score,quality_score,latency_ms,reasoning_preview,full_reasoning,judge_feedback
Vanilla ANEETAA,Question_Paper_8_139,Biology,ERROR,C,False,0,0,0,Error: 'user_explanation_language',Error: 'user_explanation_language',N/A - Error occurred
Vanilla ANEETAA,Question_Paper_29_p24_q113,Biology,ERROR,A,False,0,0,0,Error: 'user_explanation_language',Error: 'user_explanation_language',N/A - Error occurred
Vanilla ANEETAA,Question_Paper_10_p13_q36,Physics,ERROR,C,False,0,0,0,Error: 'user_explanation_language',Error: 'user_explanation_language',N/A - Error occurred
DSPy Baseline,Question_Paper_8_139,Biology,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy Baseline,Question_Paper_29_p24_q113,Biology,ERROR,A,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy Baseline,Question_Paper_10_p13_q36,Physics,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + MIPROv2,Question_Paper_8_139,Biology,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + MIPROv2,Question_Paper_29_p24_q113,Biology,ERROR,A,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + MIPROv2,Question_Paper_10_p13_q36,Physics,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + BootstrapFewShot,Question_Paper_8_139,Biology,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + BootstrapFewShot,Question_Paper_29_p24_q113,Biology,ERROR,A,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
DSPy + BootstrapFewShot,Question_Paper_10_p13_q36,Physics,ERROR,C,False,0,0,0,Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',Error: MCQSolverModule.forward() got an unexpected keyword argument 'config',N/A - Error occurred
