Model,Agent,Total_Questions,Correct_Count,Accuracy_%,Avg_Original_Quality,Avg_Original_Fact,Avg_GPT4o_Quality,Score_Difference,English_Only_%,Multilingual_Count,Avg_Multilingual_Penalty,Avg_Word_Count,Minimal_Count,Brief_Count,Complete_Count,Verbose_Count,Avg_Structural_Quality,Has_Steps_%,Has_Equations_%,Has_Formatting_%,Error_Count,Truncated_Count
Gemma2 9B,DSPy Baseline,40,35,87.5,5.08,8.75,7.65,2.58,90.0,4,0.1,111.3,0,2,23,0,4.7,0.0,92.5,82.5,0,0
Gemma2 9B,DSPy Bootstrap,40,36,90.0,5.42,9.0,7.7,2.28,90.0,4,0.1,109.9,0,0,22,0,5.0,0.0,95.0,95.0,0,0
Gemma2 9B,DSPy MIPROv2,40,33,82.5,4.92,8.25,7.62,2.7,95.0,2,0.05,84.4,0,1,9,0,5.68,100.0,67.5,17.5,0,0
Gemma2 9B,Vanilla ANEETAA,40,32,80.0,5.15,8.0,7.45,2.3,92.5,3,0.08,105.1,0,0,21,0,4.72,7.5,100.0,72.5,0,0
Llama 3.1 8B,DSPy Baseline,40,30,75.0,4.8,7.5,6.1,1.3,97.5,1,0.02,117.1,0,0,27,0,3.25,2.5,65.0,7.5,4,0
Llama 3.1 8B,DSPy Bootstrap,40,33,82.5,5.0,8.25,8.4,3.4,97.5,1,0.02,162.0,0,0,37,0,8.12,100.0,100.0,92.5,0,0
Llama 3.1 8B,DSPy MIPROv2,40,35,87.5,5.2,8.75,7.18,1.97,97.5,1,0.02,181.6,0,0,37,2,4.03,5.0,82.5,17.5,0,0
Llama 3.1 8B,Vanilla ANEETAA,40,24,60.0,5.0,6.0,6.18,1.17,90.0,4,0.1,987.9,0,4,23,2,3.82,2.5,70.0,35.0,1,0
Mistral Nemo 12B,DSPy Baseline,40,26,65.0,5.18,6.5,6.18,1.0,92.5,3,0.08,83.8,0,0,10,0,2.82,0.0,70.0,15.0,0,0
Mistral Nemo 12B,DSPy Bootstrap,40,35,87.5,5.22,8.75,7.68,2.45,92.5,3,0.08,89.1,0,0,15,0,6.65,75.0,82.5,70.0,1,0
Mistral Nemo 12B,DSPy MIPROv2,40,29,72.5,5.0,7.25,8.38,3.38,92.5,3,0.08,124.0,0,0,29,0,7.72,100.0,90.0,67.5,0,0
Mistral Nemo 12B,Vanilla ANEETAA,40,28,70.0,5.03,7.0,6.65,1.62,57.5,17,0.55,498.0,0,1,22,2,5.15,0.0,97.5,70.0,0,0
